x-axis,1
second,Volt
-8.85938E+00,+48.23E-03
-8.84375E+00,+58.78E-03
-8.82813E+00,+55.71E-03
-8.81250E+00,+46.72E-03
-8.79688E+00,+39.58E-03
-8.78125E+00,+38.73E-03
-8.76563E+00,+39.98E-03
-8.75000E+00,+44.36E-03
-8.73438E+00,+45.71E-03
-8.71875E+00,+51.24E-03
-8.70313E+00,+55.46E-03
-8.68750E+00,+52.75E-03
-8.67188E+00,+59.03E-03
-8.65625E+00,+59.93E-03
-8.64063E+00,+59.53E-03
-8.62500E+00,+51.04E-03
-8.60938E+00,+60.13E-03
-8.59375E+00,+58.98E-03
-8.57813E+00,+40.69E-03
-8.56250E+00,+48.17E-03
-8.54688E+00,+48.43E-03
-8.53125E+00,+53.70E-03
-8.51563E+00,+48.02E-03
-8.50000E+00,+59.33E-03
-8.48438E+00,+58.88E-03
-8.46875E+00,+52.55E-03
-8.45313E+00,+56.57E-03
-8.43750E+00,+57.37E-03
-8.42188E+00,+55.66E-03
-8.40625E+00,+52.85E-03
-8.39063E+00,+55.21E-03
-8.37500E+00,+49.98E-03
-8.35938E+00,+43.20E-03
-8.34375E+00,+44.56E-03
-8.32813E+00,+47.57E-03
-8.31250E+00,+46.11E-03
-8.29688E+00,+41.89E-03
-8.28125E+00,+61.24E-03
-8.26563E+00,+52.45E-03
-8.25000E+00,+49.73E-03
-8.23438E+00,+60.59E-03
-8.21875E+00,+61.94E-03
-8.20313E+00,+52.55E-03
-8.18750E+00,+39.28E-03
-8.17188E+00,+40.18E-03
-8.15625E+00,+41.74E-03
-8.14063E+00,+38.33E-03
-8.12500E+00,+38.73E-03
-8.10938E+00,+49.48E-03
-8.09375E+00,+53.90E-03
-8.07813E+00,+55.06E-03
-8.06250E+00,+46.82E-03
-8.04688E+00,+47.97E-03
-8.03125E+00,+55.76E-03
-8.01563E+00,+56.47E-03
-8.00000E+00,+53.00E-03
-7.98438E+00,+46.67E-03
-7.96875E+00,+38.23E-03
-7.95313E+00,+38.48E-03
-7.93750E+00,+39.28E-03
-7.92188E+00,+48.07E-03
-7.90625E+00,+50.89E-03
-7.89063E+00,+59.33E-03
-7.87500E+00,+58.98E-03
-7.85938E+00,+48.07E-03
-7.84375E+00,+49.28E-03
-7.82813E+00,+48.48E-03
-7.81250E+00,+57.62E-03
-7.79688E+00,+53.95E-03
-7.78125E+00,+46.47E-03
-7.76563E+00,+38.88E-03
-7.75000E+00,+44.96E-03
-7.73438E+00,+39.43E-03
-7.71875E+00,+38.17E-03
-7.70313E+00,+52.20E-03
-7.68750E+00,+59.08E-03
-7.67188E+00,+50.39E-03
-7.65625E+00,+48.48E-03
-7.64063E+00,+52.45E-03
-7.62500E+00,+57.82E-03
-7.60938E+00,+39.08E-03
-7.59375E+00,+38.58E-03
-7.57813E+00,+44.76E-03
-7.56250E+00,+42.40E-03
-7.54688E+00,+46.97E-03
-7.53125E+00,+49.63E-03
-7.51563E+00,+43.95E-03
-7.50000E+00,+39.13E-03
-7.48438E+00,+43.25E-03
-7.46875E+00,+53.60E-03
-7.45313E+00,+59.98E-03
-7.43750E+00,+59.43E-03
-7.42188E+00,+48.78E-03
-7.40625E+00,+47.62E-03
-7.39063E+00,+38.23E-03
-7.37500E+00,+39.13E-03
-7.35938E+00,+38.02E-03
-7.34375E+00,+43.20E-03
-7.32813E+00,+45.51E-03
-7.31250E+00,+40.49E-03
-7.29688E+00,+36.01E-03
-7.28125E+00,+51.99E-03
-7.26563E+00,+48.43E-03
-7.25000E+00,+54.96E-03
-7.23438E+00,+61.14E-03
-7.21875E+00,+58.88E-03
-7.20313E+00,+59.53E-03
-7.18750E+00,+53.30E-03
-7.17188E+00,+44.26E-03
-7.15625E+00,+36.82E-03
-7.14063E+00,+41.14E-03
-7.12500E+00,+50.18E-03
-7.10938E+00,+44.91E-03
-7.09375E+00,+40.69E-03
-7.07813E+00,+49.48E-03
-7.06250E+00,+45.26E-03
-7.04688E+00,+49.88E-03
-7.03125E+00,+38.93E-03
-7.01563E+00,+45.51E-03
-7.00000E+00,+40.99E-03
-6.98438E+00,+42.14E-03
-6.96875E+00,+52.25E-03
-6.95313E+00,+48.93E-03
-6.93750E+00,+51.64E-03
-6.92188E+00,+48.17E-03
-6.90625E+00,+49.18E-03
-6.89063E+00,+38.17E-03
-6.87500E+00,+50.94E-03
-6.85938E+00,+59.78E-03
-6.84375E+00,+53.85E-03
-6.82813E+00,+39.58E-03
-6.81250E+00,+54.26E-03
-6.79688E+00,+53.80E-03
-6.78125E+00,+56.22E-03
-6.76563E+00,+54.00E-03
-6.75000E+00,+61.69E-03
-6.73438E+00,+50.49E-03
-6.71875E+00,+47.92E-03
-6.70313E+00,+43.75E-03
-6.68750E+00,+46.11E-03
-6.67188E+00,+51.24E-03
-6.65625E+00,+50.54E-03
-6.64063E+00,+46.32E-03
-6.62500E+00,+51.24E-03
-6.60938E+00,+51.89E-03
-6.59375E+00,+51.94E-03
-6.57813E+00,+53.90E-03
-6.56250E+00,+48.98E-03
-6.54688E+00,+51.44E-03
-6.53125E+00,+50.99E-03
-6.51563E+00,+48.83E-03
-6.50000E+00,+46.47E-03
-6.48438E+00,+48.12E-03
-6.46875E+00,+44.56E-03
-6.45313E+00,+45.86E-03
-6.43750E+00,+50.64E-03
-6.42188E+00,+49.13E-03
-6.40625E+00,+50.59E-03
-6.39063E+00,+47.92E-03
-6.37500E+00,+47.67E-03
-6.35938E+00,+59.03E-03
-6.34375E+00,+48.07E-03
-6.32813E+00,+51.44E-03
-6.31250E+00,+48.98E-03
-6.29688E+00,+49.08E-03
-6.28125E+00,+49.23E-03
-6.26563E+00,+49.13E-03
-6.25000E+00,+48.98E-03
-6.23438E+00,+28.33E-03
-6.21875E+00,+32.40E-03
-6.20313E+00,+45.51E-03
-6.18750E+00,+51.99E-03
-6.17188E+00,+46.97E-03
-6.15625E+00,+47.92E-03
-6.14063E+00,+49.63E-03
-6.12500E+00,+48.17E-03
-6.10938E+00,+41.99E-03
-6.09375E+00,+51.09E-03
-6.07813E+00,+41.29E-03
-6.06250E+00,+32.04E-03
-6.04688E+00,+35.46E-03
-6.03125E+00,+45.16E-03
-6.01563E+00,+36.77E-03
-6.00000E+00,+33.35E-03
-5.98438E+00,+30.99E-03
-5.96875E+00,+29.93E-03
-5.95313E+00,+46.37E-03
-5.93750E+00,+33.45E-03
-5.92188E+00,+26.16E-03
-5.90625E+00,+42.35E-03
-5.89063E+00,+57.62E-03
-5.87500E+00,+47.32E-03
-5.85938E+00,+32.04E-03
-5.84375E+00,+33.35E-03
-5.82813E+00,+30.49E-03
-5.81250E+00,+38.53E-03
-5.79688E+00,+33.95E-03
-5.78125E+00,+31.89E-03
-5.76563E+00,+46.22E-03
-5.75000E+00,+39.28E-03
-5.73438E+00,+30.24E-03
-5.71875E+00,+32.95E-03
-5.70313E+00,+30.13E-03
-5.68750E+00,+48.58E-03
-5.67188E+00,+38.07E-03
-5.65625E+00,+45.26E-03
-5.64063E+00,+38.38E-03
-5.62500E+00,+31.29E-03
-5.60938E+00,+46.67E-03
-5.59375E+00,+40.49E-03
-5.57813E+00,+28.23E-03
-5.56250E+00,+33.05E-03
-5.54688E+00,+31.04E-03
-5.53125E+00,+30.29E-03
-5.51563E+00,+31.14E-03
-5.50000E+00,+42.14E-03
-5.48438E+00,+29.33E-03
-5.46875E+00,+27.62E-03
-5.45313E+00,+40.34E-03
-5.43750E+00,+30.44E-03
-5.42188E+00,+30.29E-03
-5.40625E+00,+37.82E-03
-5.39063E+00,+39.73E-03
-5.37500E+00,+36.22E-03
-5.35938E+00,+28.88E-03
-5.34375E+00,+36.87E-03
-5.32813E+00,+45.31E-03
-5.31250E+00,+31.94E-03
-5.29688E+00,+44.41E-03
-5.28125E+00,+33.10E-03
-5.26563E+00,+45.96E-03
-5.25000E+00,+40.13E-03
-5.23438E+00,+31.74E-03
-5.21875E+00,+29.08E-03
-5.20313E+00,+27.97E-03
-5.18750E+00,+27.42E-03
-5.17188E+00,+26.77E-03
-5.15625E+00,+27.32E-03
-5.14063E+00,+30.49E-03
-5.12500E+00,+46.16E-03
-5.10938E+00,+44.56E-03
-5.09375E+00,+37.62E-03
-5.07813E+00,+46.67E-03
-5.06250E+00,+32.80E-03
-5.04688E+00,+27.82E-03
-5.03125E+00,+35.06E-03
-5.01563E+00,+33.15E-03
-5.00000E+00,+42.75E-03
-4.98438E+00,+32.75E-03
-4.96875E+00,+29.68E-03
-4.95313E+00,+44.36E-03
-4.93750E+00,+33.45E-03
-4.92188E+00,+29.53E-03
-4.90625E+00,+31.04E-03
-4.89063E+00,+36.62E-03
-4.87500E+00,+37.62E-03
-4.85938E+00,+41.09E-03
-4.84375E+00,+37.37E-03
-4.82813E+00,+44.46E-03
-4.81250E+00,+48.38E-03
-4.79688E+00,+47.82E-03
-4.78125E+00,+31.29E-03
-4.76563E+00,+30.44E-03
-4.75000E+00,+33.00E-03
-4.73438E+00,+29.58E-03
-4.71875E+00,+36.97E-03
-4.70313E+00,+27.97E-03
-4.68750E+00,+32.75E-03
-4.67188E+00,+28.07E-03
-4.65625E+00,+42.60E-03
-4.64063E+00,+38.73E-03
-4.62500E+00,+33.90E-03
-4.60938E+00,+32.80E-03
-4.59375E+00,+32.95E-03
-4.57813E+00,+33.45E-03
-4.56250E+00,+33.75E-03
-4.54688E+00,+39.08E-03
-4.53125E+00,+48.28E-03
-4.51563E+00,+48.83E-03
-4.50000E+00,+50.44E-03
-4.48438E+00,+46.16E-03
-4.46875E+00,+40.39E-03
-4.45313E+00,+39.88E-03
-4.43750E+00,+34.21E-03
-4.42188E+00,+36.82E-03
-4.40625E+00,+33.15E-03
-4.39063E+00,+38.17E-03
-4.37500E+00,+47.47E-03
-4.35938E+00,+48.33E-03
-4.34375E+00,+29.83E-03
-4.32813E+00,+34.31E-03
-4.31250E+00,+29.63E-03
-4.29688E+00,+27.52E-03
-4.28125E+00,+26.82E-03
-4.26563E+00,+30.94E-03
-4.25000E+00,+34.96E-03
-4.23438E+00,+35.21E-03
-4.21875E+00,+35.61E-03
-4.20313E+00,+32.09E-03
-4.18750E+00,+39.93E-03
-4.17188E+00,+34.21E-03
-4.15625E+00,+38.07E-03
-4.14063E+00,+37.52E-03
-4.12500E+00,+40.49E-03
-4.10938E+00,+38.53E-03
-4.09375E+00,+40.18E-03
-4.07813E+00,+40.74E-03
-4.06250E+00,+37.37E-03
-4.04688E+00,+34.31E-03
-4.03125E+00,+31.44E-03
-4.01563E+00,+32.95E-03
-4.00000E+00,+30.64E-03
-3.98438E+00,+38.68E-03
-3.96875E+00,+38.83E-03
-3.95313E+00,+33.35E-03
-3.93750E+00,+49.73E-03
-3.92188E+00,+35.46E-03
-3.90625E+00,+31.24E-03
-3.89063E+00,+36.11E-03
-3.87500E+00,+35.61E-03
